
Все фоновые задания выполнены

=== ОТЧЕТ О РАБОТЕ ПАРАЛЛЕЛЬНЫХ ПОТОКОВ ===

1. ОБЩАЯ ИНФОРМАЦИЯ
   - Дата и время начала: 25.11.2025 07:59:57
   - Дата и время окончания: 25.11.2025 08:12:37
   - Общая длительность: 760,00 сек
   - Базовое количество потоков (N): 6
   - Общее количество созданных потоков: 859
   - Средний вес договоров: 18,60
   - Целевой вес потока (Q1 + 1.5×IQR): 15,50
   - Общее количество договоров: 1546
   - Общее количество задач: 28757

2. РАСПРЕДЕЛЕНИЕ ПОТОКОВ
   Номер |   Вес |  Кол-во | Время запуск | Время завершени | Длительность | Статус    
   ------------------------------------------------------------------------------------------------------------------------
       0 |  2255 |       1 | 08:02:32     | 08:10:08        |   456,00 сек | Успешно   
       1 |  1580 |       1 | 08:02:32     | 08:07:52        |   320,00 сек | Успешно   
       2 |  1563 |       1 | 08:02:32     | 08:07:47        |   315,00 сек | Успешно   
       3 |  1210 |       1 | 08:02:32     | 08:06:37        |   245,00 сек | Успешно   
       4 |  1113 |       1 | 08:02:32     | 08:06:17        |   225,00 сек | Успешно   
       5 |   618 |       1 | 08:02:32     | 08:04:37        |   125,00 сек | Успешно   
       6 |   386 |       1 | 08:04:37     | 08:05:56        |    79,00 сек | Успешно   
       7 |   301 |       1 | 08:05:56     | 08:06:57        |    61,00 сек | Успешно   
       8 |   292 |       1 | 08:06:17     | 08:07:16        |    59,00 сек | Успешно   
       9 |   248 |       1 | 08:06:27     | 08:07:17        |    50,00 сек | Успешно   
      10 |   247 |       1 | 08:06:27     | 08:07:17        |    50,00 сек | Успешно   
      11 |   232 |       1 | 08:06:27     | 08:07:14        |    47,00 сек | Успешно   
      12 |   218 |       1 | 08:06:27     | 08:07:11        |    44,00 сек | Успешно   
      13 |   203 |       1 | 08:06:37     | 08:07:18        |    41,00 сек | Успешно   
      14 |   182 |       1 | 08:06:57     | 08:07:33        |    36,00 сек | Успешно   
      15 |   168 |       1 | 08:07:11     | 08:07:45        |    34,00 сек | Успешно   
      16 |   158 |       1 | 08:07:14     | 08:07:46        |    32,00 сек | Успешно   
      17 |   149 |       1 | 08:07:16     | 08:07:46        |    30,00 сек | Успешно   
      18 |   149 |       1 | 08:07:17     | 08:07:47        |    30,00 сек | Успешно   
      19 |   142 |       1 | 08:07:17     | 08:07:46        |    29,00 сек | Успешно   
      20 |   133 |       1 | 08:07:18     | 08:07:44        |    26,00 сек | Успешно   
      21 |   131 |       1 | 08:07:27     | 08:07:54        |    27,00 сек | Успешно   
      22 |   124 |       1 | 08:07:27     | 08:07:52        |    25,00 сек | Успешно   
      23 |   110 |       1 | 08:07:33     | 08:07:56        |    23,00 сек | Успешно   
      24 |   102 |       1 | 08:07:44     | 08:08:05        |    21,00 сек | Успешно   
      25 |   100 |       1 | 08:07:45     | 08:08:06        |    21,00 сек | Успешно   
      26 |   100 |       1 | 08:07:46     | 08:08:06        |    20,00 сек | Успешно   
      27 |    94 |       1 | 08:07:46     | 08:08:04        |    18,00 сек | Успешно   
      28 |    93 |       1 | 08:07:46     | 08:08:05        |    19,00 сек | Успешно   
      29 |    92 |       1 | 08:07:47     | 08:08:06        |    19,00 сек | Успешно   
      30 |    92 |       1 | 08:07:47     | 08:08:06        |    19,00 сек | Успешно   
      31 |    85 |       1 | 08:07:52     | 08:08:09        |    17,00 сек | Успешно   
      32 |    85 |       1 | 08:07:52     | 08:08:09        |    17,00 сек | Успешно   
      33 |    83 |       1 | 08:07:54     | 08:08:11        |    17,00 сек | Успешно   
      34 |    82 |       1 | 08:07:56     | 08:08:12        |    16,00 сек | Успешно   
      35 |    81 |       1 | 08:08:04     | 08:08:21        |    17,00 сек | Успешно   
      36 |    76 |       1 | 08:08:05     | 08:08:20        |    15,00 сек | Успешно   
      37 |    76 |       1 | 08:08:05     | 08:08:20        |    15,00 сек | Успешно   
      38 |    74 |       1 | 08:08:06     | 08:08:20        |    14,00 сек | Успешно   
      39 |    74 |       1 | 08:08:06     | 08:08:20        |    14,00 сек | Успешно   
      40 |    74 |       1 | 08:08:06     | 08:08:20        |    14,00 сек | Успешно   
      41 |    72 |       1 | 08:08:06     | 08:08:20        |    14,00 сек | Успешно   
      42 |    71 |       1 | 08:08:09     | 08:08:24        |    15,00 сек | Успешно   
      43 |    69 |       1 | 08:08:09     | 08:08:23        |    14,00 сек | Успешно   
      44 |    67 |       1 | 08:08:11     | 08:08:24        |    13,00 сек | Успешно   
      45 |    64 |       1 | 08:08:12     | 08:08:25        |    13,00 сек | Успешно   
      46 |    64 |       1 | 08:08:20     | 08:08:32        |    12,00 сек | Успешно   
      47 |    62 |       1 | 08:08:20     | 08:08:32        |    12,00 сек | Успешно   
      48 |    61 |       1 | 08:08:20     | 08:08:33        |    13,00 сек | Успешно   
      49 |    61 |       1 | 08:08:20     | 08:08:33        |    13,00 сек | Успешно   
      50 |    60 |       1 | 08:08:20     | 08:08:33        |    13,00 сек | Успешно   
      51 |    60 |       1 | 08:08:20     | 08:08:33        |    13,00 сек | Успешно   
      52 |    59 |       1 | 08:08:21     | 08:08:33        |    12,00 сек | Успешно   
      53 |    59 |       1 | 08:08:23     | 08:08:34        |    11,00 сек | Успешно   
      54 |    59 |       1 | 08:08:24     | 08:08:35        |    11,00 сек | Успешно   
      55 |    58 |       1 | 08:08:24     | 08:08:36        |    12,00 сек | Успешно   
      56 |    58 |       1 | 08:08:25     | 08:08:36        |    11,00 сек | Успешно   
      57 |    56 |       1 | 08:08:32     | 08:08:44        |    12,00 сек | Успешно   
      58 |    56 |       1 | 08:08:32     | 08:08:44        |    12,00 сек | Успешно   
      59 |    56 |       1 | 08:08:33     | 08:08:44        |    11,00 сек | Успешно   
      60 |    55 |       1 | 08:08:33     | 08:08:44        |    11,00 сек | Успешно   
      61 |    55 |       1 | 08:08:33     | 08:08:44        |    11,00 сек | Успешно   
      62 |    55 |       1 | 08:08:33     | 08:08:44        |    11,00 сек | Успешно   
      63 |    55 |       1 | 08:08:33     | 08:08:44        |    11,00 сек | Успешно   
      64 |    55 |       1 | 08:08:34     | 08:08:46        |    12,00 сек | Успешно   
      65 |    54 |       1 | 08:08:35     | 08:08:46        |    11,00 сек | Успешно   
      66 |    54 |       1 | 08:08:36     | 08:08:46        |    10,00 сек | Успешно   
      67 |    54 |       1 | 08:08:36     | 08:08:47        |    11,00 сек | Успешно   
      68 |    53 |       1 | 08:08:44     | 08:08:54        |    10,00 сек | Успешно   
      69 |    52 |       1 | 08:08:44     | 08:08:54        |    10,00 сек | Успешно   
      70 |    49 |       1 | 08:08:44     | 08:08:53        |     9,00 сек | Успешно   
      71 |    48 |       1 | 08:08:44     | 08:08:54        |    10,00 сек | Успешно   
      72 |    47 |       1 | 08:08:44     | 08:08:54        |    10,00 сек | Успешно   
      73 |    47 |       1 | 08:08:44     | 08:08:54        |    10,00 сек | Успешно   
      74 |    47 |       1 | 08:08:44     | 08:08:54        |    10,00 сек | Успешно   
      75 |    46 |       1 | 08:08:46     | 08:08:55        |     9,00 сек | Успешно   
      76 |    45 |       1 | 08:08:46     | 08:08:55        |     9,00 сек | Успешно   
      77 |    44 |       1 | 08:08:46     | 08:08:54        |     8,00 сек | Успешно   
      78 |    44 |       1 | 08:08:47     | 08:08:55        |     8,00 сек | Успешно   
      79 |    43 |       1 | 08:08:53     | 08:09:02        |     9,00 сек | Успешно   
      80 |    43 |       1 | 08:08:54     | 08:09:02        |     8,00 сек | Успешно   
      81 |    43 |       1 | 08:08:54     | 08:09:02        |     8,00 сек | Успешно   
      82 |    43 |       1 | 08:08:54     | 08:09:02        |     8,00 сек | Успешно   
      83 |    42 |       1 | 08:08:54     | 08:09:02        |     8,00 сек | Успешно   
      84 |    41 |       1 | 08:08:54     | 08:09:02        |     8,00 сек | Успешно   
      85 |    41 |       1 | 08:08:54     | 08:09:02        |     8,00 сек | Успешно   
      86 |    40 |       1 | 08:08:54     | 08:09:03        |     9,00 сек | Успешно   
      87 |    40 |       1 | 08:08:55     | 08:09:03        |     8,00 сек | Успешно   
      88 |    40 |       1 | 08:08:55     | 08:09:03        |     8,00 сек | Успешно   
      89 |    39 |       1 | 08:08:55     | 08:09:02        |     7,00 сек | Успешно   
      90 |    39 |       1 | 08:09:02     | 08:09:09        |     7,00 сек | Успешно   
      91 |    38 |       1 | 08:09:02     | 08:09:09        |     7,00 сек | Успешно   
      92 |    38 |       1 | 08:09:02     | 08:09:09        |     7,00 сек | Успешно   
      93 |    38 |       1 | 08:09:02     | 08:09:09        |     7,00 сек | Успешно   
      94 |    38 |       1 | 08:09:02     | 08:09:09        |     7,00 сек | Успешно   
      95 |    38 |       1 | 08:09:02     | 08:09:10        |     8,00 сек | Успешно   
      96 |    37 |       1 | 08:09:02     | 08:09:10        |     8,00 сек | Успешно   
      97 |    37 |       1 | 08:09:02     | 08:09:10        |     8,00 сек | Успешно   
      98 |    37 |       1 | 08:09:03     | 08:09:10        |     7,00 сек | Успешно   
      99 |    36 |       1 | 08:09:03     | 08:09:10        |     7,00 сек | Успешно   
     100 |    35 |       1 | 08:09:03     | 08:09:10        |     7,00 сек | Успешно   
     101 |    35 |       1 | 08:09:09     | 08:09:16        |     7,00 сек | Успешно   
     102 |    35 |       1 | 08:09:09     | 08:09:16        |     7,00 сек | Успешно   
     103 |    35 |       1 | 08:09:09     | 08:09:16        |     7,00 сек | Успешно   
     104 |    34 |       1 | 08:09:09     | 08:09:15        |     6,00 сек | Успешно   
     105 |    34 |       1 | 08:09:09     | 08:09:15        |     6,00 сек | Успешно   
     106 |    34 |       1 | 08:09:10     | 08:09:16        |     6,00 сек | Успешно   
     107 |    34 |       1 | 08:09:10     | 08:09:16        |     6,00 сек | Успешно   
     108 |    33 |       1 | 08:09:10     | 08:09:16        |     6,00 сек | Успешно   
     109 |    33 |       1 | 08:09:10     | 08:09:16        |     6,00 сек | Успешно   
     110 |    33 |       1 | 08:09:10     | 08:09:17        |     7,00 сек | Успешно   
     111 |    33 |       1 | 08:09:10     | 08:09:17        |     7,00 сек | Успешно   
     112 |    33 |       1 | 08:09:15     | 08:09:22        |     7,00 сек | Успешно   
     113 |    33 |       1 | 08:09:15     | 08:09:22        |     7,00 сек | Успешно   
     114 |    33 |       1 | 08:09:16     | 08:09:22        |     6,00 сек | Успешно   
     115 |    33 |       1 | 08:09:16     | 08:09:22        |     6,00 сек | Успешно   
     116 |    33 |       1 | 08:09:16     | 08:09:22        |     6,00 сек | Успешно   
     117 |    32 |       1 | 08:09:16     | 08:09:23        |     7,00 сек | Успешно   
     118 |    32 |       1 | 08:09:16     | 08:09:23        |     7,00 сек | Успешно   
     119 |    32 |       1 | 08:09:16     | 08:09:23        |     7,00 сек | Успешно   
     120 |    32 |       1 | 08:09:16     | 08:09:23        |     7,00 сек | Успешно   
     121 |    32 |       1 | 08:09:17     | 08:09:23        |     6,00 сек | Успешно   
     122 |    31 |       1 | 08:09:17     | 08:09:23        |     6,00 сек | Успешно   
     123 |    31 |       1 | 08:09:22     | 08:09:28        |     6,00 сек | Успешно   
     124 |    30 |       1 | 08:09:22     | 08:09:28        |     6,00 сек | Успешно   
     125 |    30 |       1 | 08:09:22     | 08:09:28        |     6,00 сек | Успешно   
     126 |    30 |       1 | 08:09:22     | 08:09:28        |     6,00 сек | Успешно   
     127 |    29 |       1 | 08:09:22     | 08:09:28        |     6,00 сек | Успешно   
     128 |    29 |       1 | 08:09:23     | 08:09:28        |     5,00 сек | Успешно   
     129 |    29 |       1 | 08:09:23     | 08:09:28        |     5,00 сек | Успешно   
     130 |    29 |       1 | 08:09:23     | 08:09:28        |     5,00 сек | Успешно   
     131 |    29 |       1 | 08:09:23     | 08:09:28        |     5,00 сек | Успешно   
     132 |    29 |       1 | 08:09:23     | 08:09:28        |     5,00 сек | Успешно   
     133 |    29 |       1 | 08:09:23     | 08:09:28        |     5,00 сек | Успешно   
     134 |    29 |       1 | 08:09:28     | 08:09:33        |     5,00 сек | Успешно   
     135 |    29 |       1 | 08:09:28     | 08:09:33        |     5,00 сек | Успешно   
     136 |    29 |       1 | 08:09:28     | 08:09:33        |     5,00 сек | Успешно   
     137 |    29 |       1 | 08:09:28     | 08:09:33        |     5,00 сек | Успешно   
     138 |    28 |       1 | 08:09:28     | 08:09:33        |     5,00 сек | Успешно   
     139 |    28 |       1 | 08:09:28     | 08:09:33        |     5,00 сек | Успешно   
     140 |    28 |       1 | 08:09:28     | 08:09:33        |     5,00 сек | Успешно   
     141 |    28 |       1 | 08:09:28     | 08:09:34        |     6,00 сек | Успешно   
     142 |    28 |       1 | 08:09:28     | 08:09:34        |     6,00 сек | Успешно   
     143 |    28 |       1 | 08:09:28     | 08:09:34        |     6,00 сек | Успешно   
     144 |    28 |       1 | 08:09:28     | 08:09:34        |     6,00 сек | Успешно   
     145 |    28 |       1 | 08:09:33     | 08:09:38        |     5,00 сек | Успешно   
     146 |    28 |       1 | 08:09:33     | 08:09:38        |     5,00 сек | Успешно   
     147 |    28 |       1 | 08:09:33     | 08:09:38        |     5,00 сек | Успешно   
     148 |    28 |       1 | 08:09:33     | 08:09:38        |     5,00 сек | Успешно   
     149 |    27 |       1 | 08:09:33     | 08:09:38        |     5,00 сек | Успешно   
     150 |    27 |       1 | 08:09:33     | 08:09:38        |     5,00 сек | Успешно   
     151 |    27 |       1 | 08:09:33     | 08:09:38        |     5,00 сек | Успешно   
     152 |    27 |       1 | 08:09:34     | 08:09:39        |     5,00 сек | Успешно   
     153 |    27 |       1 | 08:09:34     | 08:09:39        |     5,00 сек | Успешно   
     154 |    27 |       1 | 08:09:34     | 08:09:39        |     5,00 сек | Успешно   
     155 |    27 |       1 | 08:09:34     | 08:09:39        |     5,00 сек | Успешно   
     156 |    27 |       1 | 08:09:38     | 08:09:43        |     5,00 сек | Успешно   
     157 |    27 |       1 | 08:09:38     | 08:09:44        |     6,00 сек | Успешно   
     158 |    27 |       1 | 08:09:38     | 08:09:44        |     6,00 сек | Успешно   
     159 |    27 |       1 | 08:09:38     | 08:09:44        |     6,00 сек | Успешно   
     160 |    27 |       1 | 08:09:38     | 08:09:44        |     6,00 сек | Успешно   
     161 |    27 |       1 | 08:09:38     | 08:09:44        |     6,00 сек | Успешно   
     162 |    26 |       1 | 08:09:38     | 08:09:44        |     6,00 сек | Успешно   
     163 |    26 |       1 | 08:09:39     | 08:09:44        |     5,00 сек | Успешно   
     164 |    26 |       1 | 08:09:39     | 08:09:44        |     5,00 сек | Успешно   
     165 |    26 |       1 | 08:09:39     | 08:09:44        |     5,00 сек | Успешно   
     166 |    26 |       1 | 08:09:39     | 08:09:44        |     5,00 сек | Успешно   
     167 |    26 |       1 | 08:09:43     | 08:09:49        |     6,00 сек | Успешно   
     168 |    26 |       1 | 08:09:44     | 08:09:49        |     5,00 сек | Успешно   
     169 |    26 |       1 | 08:09:44     | 08:09:49        |     5,00 сек | Успешно   
     170 |    26 |       1 | 08:09:44     | 08:09:49        |     5,00 сек | Успешно   
     171 |    26 |       1 | 08:09:44     | 08:09:49        |     5,00 сек | Успешно   
     172 |    26 |       1 | 08:09:44     | 08:09:49        |     5,00 сек | Успешно   
     173 |    26 |       1 | 08:09:44     | 08:09:49        |     5,00 сек | Успешно   
     174 |    26 |       1 | 08:09:44     | 08:09:49        |     5,00 сек | Успешно   
     175 |    26 |       1 | 08:09:44     | 08:09:49        |     5,00 сек | Успешно   
