DATE;SETTLE_DATE;KOD;ACCOUNT;TYPE;AMOUNT_BEG;VAR_MARG;VAR_MARG_MTM;PREM;PREM_MTM;IN_OUT_NETTO;CHARGES;CHARGES_MTM;FUT_SBOR;FUT_SBOR_MTM;OPT_SBOR;OPT_SBOR_MTM;NOV;GO;AMOUNT_END;AMOUNT_END_MTM;FREE;DU;SBOR_EX;SBOR_EX_MTM;SBOR_CC;SBOR_CC_MTM;RUB_BEG;RUB_PAY;RUB_END;COM_PL_BEG;COM_PL_PAY;COM_PL_PREM;COM_PL_END
2025/11/26;2025/11/27;J400000;BF;MN;190967724.41;87381.05;48628.79;0.00;-9.23;0.00;0.00;8.78;0.00;-8.76;0.00;-0.02;120070.85;1269224.93;191055105.46;0.00;189905951.38;0;0.00;5.05;0.00;3.73;190967724.41;0.00;191055105.46;0.00;0.00;0.00;0.00
2025/11/26;2025/11/27;J401000;BF;MN;102227109.63;0.00;0.00;0.00;0.00;24.82;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4745.59;102227134.45;0.00;102222388.86;0;0.00;0.00;0.00;0.00;102184047.16;0.00;102184047.16;43062.47;24.82;0.00;43087.29
2025/11/26;2025/11/27;J402000;BF;MN;10000000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10000000.00;0.00;10000000.00;0;0.00;0.00;0.00;0.00;10000000.00;0.00;10000000.00;0.00;0.00;0.00;0.00
2025/11/26;2025/11/27;J403000;BF;MN;446827.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;446827.03;0.00;446827.03;0;0.00;0.00;0.00;0.00;446827.03;0.00;446827.03;0.00;0.00;0.00;0.00
2025/11/26;2025/11/27;J404000;BF;MN;10342371.94;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10342371.94;0.00;10342371.94;0;0.00;0.00;0.00;0.00;10342371.94;0.00;10342371.94;0.00;0.00;0.00;0.00
2025/11/26;2025/11/27;J405000;BF;MN;9966983.58;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;9966983.58;0.00;9966983.58;0;0.00;0.00;0.00;0.00;9966983.58;0.00;9966983.58;0.00;0.00;0.00;0.00
2025/11/26;2025/11/27;J407000;BF;MN;1.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.10;0.00;1.10;0;0.00;0.00;0.00;0.00;1.10;0.00;1.10;0.00;0.00;0.00;0.00
2025/11/26;2025/11/27;J412000;BF;MN;100829238.36;-12550.00;1658.00;0.00;0.00;0.00;0.00;6.26;0.00;-6.26;0.00;0.00;0.00;555038.95;100816688.36;0.00;100261649.41;0;0.00;3.60;0.00;2.66;100829238.36;0.00;100816688.36;0.00;0.00;0.00;0.00
2025/11/26;2025/11/27;J424000;BF;MN;54058790.71;0.00;0.00;0.00;0.00;317000.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2136050.00;54375790.71;0.00;52239740.71;0;0.00;0.00;0.00;0.00;39535790.71;0.00;39535790.71;14523000.00;317000.00;0.00;14840000.00
2025/11/26;2025/11/27;J476000;BF;MN;999999999.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;999999999.00;0.00;999999999.00;0;0.00;0.00;0.00;0.00;999999999.00;0.00;999999999.00;0.00;0.00;0.00;0.00
